bevintharaj,🏴🏴🏴 #Lawan
ohjenal,"KEMPEN BENDERA HITAM NI TAKDE KACAU ORANG AWAM, TAK LANGGAR SOP COVID, TAK BUAT PERHIMPUNAN LAGIKAN RUSUHAN BUT KENAPA NAK SIASAT? KEMPEN NI TAKDE GUGAT MANA-MANA PIHAK PUN KECUALI KERAJAAN YANG GAGAL TU JE #KerajaanGagal #Lawan"
niaga24jam,@syfiqzck_ Ramai lagi yang perlu disedarkan. #Lawan
wafiealaziz,𝘵𝘦𝘵𝘢𝘱𝘪 𝘶𝘯𝘵𝘶𝘬 𝘮𝘦𝘯𝘤𝘢𝘣𝘢𝘳 𝘱𝘦𝘯𝘨𝘶𝘢𝘴𝘢 𝘥𝘦𝘯𝘨𝘢𝘯 𝘮𝘦𝘮𝘶𝘱𝘶𝘬 #𝘒𝘜𝘈𝘚𝘈 𝘺𝘢𝘯𝘨 𝘣𝘢𝘳𝘶.  #𝘒𝘜𝘈𝘚𝘈 𝘥𝘢𝘯 𝘬𝘦𝘬𝘶𝘢𝘵𝘢𝘯 #𝘙𝘈𝘒𝘠𝘈𝘛  #𝘓𝘈𝘞𝘈𝘕
wafiealaziz,"𝘵𝘶𝘫𝘶𝘢𝘯 𝘥𝘢𝘯 𝘬𝘦𝘩𝘦𝘯𝘥𝘢𝘬 𝘣𝘢𝘨𝘪 𝘴𝘦𝘭𝘶𝘳𝘶𝘩 𝘢𝘯𝘢𝘳𝘬𝘪𝘴 𝘣𝘶𝘬𝘢𝘯𝘭𝘢𝘩 𝘶𝘯𝘵𝘶𝘬 𝘮𝘦𝘳𝘦𝘣𝘶𝘵 𝘬𝘦𝘬𝘶𝘢𝘴𝘢𝘢𝘯 𝘺𝘢𝘯𝘨 𝘥𝘪𝘮𝘪𝘭𝘪𝘬𝘪 𝘱𝘦𝘯𝘨𝘶𝘢𝘴𝘢 𝘴𝘦𝘬𝘢𝘳𝘢𝘯𝘨,  #𝘓𝘈𝘞𝘈𝘕"
8urn88q,"""Come Wit It Now!"" 🏴🏴🏴 #KibarHitam #Lawan #KerajaanBangsat  Credit : Ratm - Bullsonparade😃 - rindu gig2 zaman nih...  https://t.co/6jDoPZH7QA"
an_afdhal,#KLUANGMAN &amp; #TIONGMAN WAS HERE #BENDERAHITAM #LAWAN #KERAJAANGAGAL  https://t.co/J8ooYP1Gkw
diane_dcruz13,"#lawan don't try to silence us , we will only get louder"
itshairii,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #lawan #MuhyiddinLetakJawatan #KerajaanGagal #KerajaanBangsat #KerajaanPembunuh
niaga24jam,@syfiqzck_ Maknanya masej #Lawan telah sampai. #BenderaHitam pasti menang.
fahmymazlan,🏴🏴🏴🏴🏴🏴🏴🏴  #LAWAN
annieveeee,Jeng jeng jeng....  #Lawan #BenderaHitam 🏴
syfiqzck_,"Aku punya story ig yg ada #Lawan kena remove hahahaha. Mula-mula kena shadow-banned, lepastu hilang terus."
shamcty,#Lawan 🏴🏴🏴🏴
faridahfaiz,"Standing in solidarity with the #BenderaHitam movement today.   ""When injustice becomes law, resistance becomes duty"" #Lawan 🏴"
not_washi,#lawan #MuhyiddinLetakJawatan #BenderaHitam  https://t.co/WYRHUFNpid
fauzanfthllh,"Come on guysss!!!! #Lawan #BenderaHitam . Tidak goyang, tak pernah goyang. #Lawan #Lawan #Lawan #Lawan"
animefolyf,"What is the criteria to be PM in Malaysia? Google has few answers to my raging question but it's not satisfying, it there a age limit or education that he/she must achieve before being appointed by the Agong??? I really need to know this..  #MuhyiddinLetakJawatan #LAWAN"
kehidupankauaku,#Lawan
nooraminahmad,"Kita #Lawan bukan kerana kita kuat tapi kerana kita sedar. Elemen sedar dalam masyarakat itulah, di mana-mana dalam sejarah, menjadi pendorong kemerdekaan. Mereka tidak selalu menang, bahkan mungkin terbuang. Kerana bukan menang jadi persoalan, tapi maruah diri jadi taruhan."
annieveeee,Last detected hashtag #Lawan on trending page. What’s on ur mind @Twitter ? 🤔🤔🤔🤔🤔
shrhanum_,🏴🏴 #Lawan
zamhariz18,"Malaysia's minorities (ethnic, religion, sexual orientation) long suffered under conservative majority.  #BenderaHitam's a new opportunity when everyone unites against injustice #lawan  We all deserve happiness. Let's be steadfast to ensure #JusticeForAll.  https://t.co/mO4Odq4qO9"
aidilsfwn,scraped tweets from the reply section of @SyedSaddiq’s tweet and generated a word cloud.. not surprised penat is the main theme. #Lawan  https://t.co/KJut1uiLM0
corsaeldiablo,arent we not in PKP 3.0 The one yang sepatutnya total lockdown macam 1.0? pastu dia bole pulak kasi kilang bukak... pastu tah celah mana tetiba PKPD PKPP PKP la apa la. nampak la gagal kat situ #Lawan
wafiealaziz,hancurkan kebuluran (pencabulan hak asasi manusia)  hancurkan ketidakadilan  (jurang miskin kaya yang semakin mendadak)  hancurkan kezaliman  (salah guna kuasa pemerintah dan undang-undang)  #LAWAN
annieveeee,#Lawan hilang from trending. I guess kita kena tumpang hashtag #JujutsuKaisen kot hehehehehehehehehe  https://t.co/tLWdnR7AzI
berttyih,#Lawan Fight to survive Fight to be heard Fight to have a better country Fight to have better governance Fight to live another day
raxnsy,"1. Rasa dianiaya 2. Kerajaan tak pernah ambil kisah tentang rakyat 3. Untuk selamatkan masa depan saya sendiri 4. Kita perlukan pemimpin yang BIJAK, MUDA, BERTENAGA dan TAK MENIPU RAKYAT! #Lawan"
mirulha90,Sorry if it sounds ridiculous.  #BenderaHitam  #Lawan
shrhanum_,so it's no longer in trending huh #Lawan
wafiealaziz,"yang kamu sepatutnya kena takut adalah politikus fasis aparat bangsat penyembelih rakyat yang zalim, bukannya gerakan kuasa rakyat!  #LAWAN"
raxnsy,"Saya #lawan 🏴 its time to change the corrupted government into a new YOUNGER, STRONGER, INTELLIGENT candidate! #KerajaanGagal"
atasangin9545,#Lawan
serrafearless,muhyiddin needs to step down ASAP only then there WILL be a glimpse of hope for Malaysian. #MuhyiddinLetakJawatan #lawan
wafiealaziz,apa kamu takut sangat dengan anti-fasis?  #LAWAN tetap lawan!
zamhariz18,"Minoriti di Malaysia, sama ada kaum, agama atau orientasi seksual, sudah lama derita ditindas majoriti konservatif.  #BenderaHitam buka peluang baharu pabila rakyat #bangkit bersama #lawan kezaliman.  Moga istiqamah perjuangkan #KeadilanUntukSemua. Kita semua berhak bahagia.  https://t.co/mO4Odq4qO9"
wafiealaziz,𝘬𝘪𝘵𝘢 𝘵𝘪𝘥𝘢𝘬 𝘣𝘦𝘳𝘴𝘦𝘯𝘥𝘪𝘳𝘪𝘢𝘯  𝘥𝘢𝘳𝘪 𝘉𝘳𝘢𝘻𝘪𝘭 𝘥𝘪 𝘮𝘢𝘯𝘢 𝘱𝘢𝘳𝘢 𝘢𝘯𝘢𝘳𝘬𝘪𝘴 𝘥𝘢𝘯 𝘢𝘯𝘵𝘪-𝘧𝘢𝘴𝘪𝘴 𝘮𝘦𝘮𝘶𝘭𝘢𝘬𝘢𝘯 𝘴𝘦𝘬𝘢𝘵𝘢𝘯 𝘫𝘢𝘭𝘢𝘯 𝘳𝘢𝘺𝘢 𝘮𝘦𝘯𝘦𝘯𝘵𝘢𝘯𝘨 𝘑𝘢𝘪𝘳 𝘉𝘰𝘭𝘴𝘰𝘯𝘢𝘳𝘰  #𝘓𝘈𝘞𝘈𝘕 #𝘙𝘢𝘬𝘺𝘢𝘵𝘉𝘢𝘯𝘨𝘬𝘪𝘵  https://t.co/lxgIp6ShnF
nafsiahmahmud,"""When injustice becomes law, resistance becomes duty. ""  Fight for our rights because they never fight for us.  #LAWAN #LawanTetapLawan #KerajaanGagal"
sparkfinders2,@aidarnabilah @The_Mamu apa salahnya… dia kan dapat ‘tanah’ baru… bukanke dia nak bercucuk tanam jugak ke? #BenderaHitam #Lawan #LTL
calistalieya,#Lawan kenapa hilang dari trending ni?
yousojeyr,#Lawan
annieveeee,Fun fact: The Longest Trend on Twitter 🤔🤔🤔🤔  #Lawan #BenderaHitam 🏴 #4thofJuly  https://t.co/B2F5lbiOZz
dafrosty,🏴🏴🏴#Lawan
thekampungirl,"2:23am 4/7/2021 , Masih trending #Lawan dan #BenderaHitam. Bukti betapa rakyat dah menyampah dgn semua ni.  https://t.co/rkdA2PMQ5A"
shiafiku,@__khlda #Lawan kau tu dengan kerajaan. Kenapa Ketua Opposition tak boleh nak angkat bendera. He did nothing? Hijacked?  https://t.co/N3Ng8sp1DG
calistalieya,"Sape yg kata kita kena turun kat Jalan tu, please #LAWAN dalam kereta je guys kalau korang nak buat pun, tak perlu trun ke jalan, kita jgn jadi bebal macam menteri, kesian frontliner kita semua burnout dah. Our aim untuk turunkan kes, penat day lockdown bertahun."
blingb1ink,"apa la nk jadi dgn Malaysia en haih, risau tgok kedai yg tk bukak tu mcm mana dorng nk hidup dgn duit tkde, kita pulak pkp bagai nk rak tpi kes tk turun turun 🏴 #lawan"
wafiealaziz,𝘤𝘰𝘭𝘰𝘮𝘣𝘪𝘢 𝘫𝘶𝘨𝘢 #𝘓𝘈𝘞𝘈𝘕 𝘶𝘯𝘵𝘶𝘬 𝘩𝘢𝘯𝘤𝘶𝘳𝘬𝘢𝘯 𝘬𝘦𝘻𝘢𝘭𝘪𝘮𝘢𝘯  https://t.co/P5shXE471r
hazrinhafetz,"@BrothermanLp @RashidYusoff11 @anwaribrahim steady bang,keep on #lawan,respek abg lawan tanpa mengharap apa2 dari parti itu"
annieveeee,Sorry terlewat 17 minit pasal mkn jap. Kalo x dh hit 200k on time hehehehehehe 🤣  #Lawan #BenderaHitam 🏴 #4thofJuly
salemthecats,Momentum kebencian tu dah ada. Cuma nak tunggu ade satu watak yang bawak panji bendera hitam dan ber arak keliling kota kuala lumpur je  #MuhyiddinLetakJawatan #lawan #BenderaHitam
lann_aziz,@syahredzan Boleh kalau semua mau #Lawan
yannanizamm_,#lawan
akmalmfao,@Weirdinaa #Lawan 🏴🏴🏴
hazwanhfiz,Jika KRITIKAN dilarang tanpa alasan. Maka hanya ada satu cara.   #LAWAN  Solidariti bersama #BenderaHitam 🏴  https://t.co/DySBxwzWzq
sparkfinders2,@adam_amanullah @esshimself @The_Mamu hello! pulis! di sini ada orang berkumpul…. #BenderaHitam #Lawan
kingjebart,#Lawan #BenderaHitam @MuhyiddinYassin
kisheyem,@AnnuarMusa wow you care much ?   Arahan untuk buka parlimen serta boleh x ?   Harap maklum   #beranikeranabenar #lawan #KerajaanGagal
sparkfinders2,@happypankaj @esshimself mana dia KPN yang sembang kata ‘no one is above the law?’ tu? sembang kari ja ka? #BenderaHitam #Lawan #BenderaPutih
sparkfinders2,@upupkenchoong @esshimself KDN tu ‘budak’ kita daa… #Lawan #BenderaHitam
mohdasyraffikr2,#lawan  #BenderaHitam  #MuhyiddinLetakJawatan
aqilizham288,#Lawan hahahahhaa
annieveeee,"i’ll be here, along with everybody else. It’s Sunday and it’s a new day. Sape nk tito, tito dulu.  Nunyte n sleep tight 🛌   #Lawan #BenderaHitam 🏴 #4thofJuly  https://t.co/JvcJsI8H8r"
yanameera,@arfzdnn Mohon izin guna ya! #lawan 🏴🏴🏴
lionfromtheeast,#lawan malaysia #BenderaHitam May The Force Be With You Malaysia !  https://t.co/Hfmhvyy4fv
ridhwanshahz,Luahan rakyat sampai terpaksa buat thread #KerajaanGagal  #Lawan
colinjoshuaa,your bold voice now determines the future 🏴 #lawan
yanameera,#Lawan trending dh 208k tweets. Kita biarkan ianya trending beberapa hari lagi. #LawanTetapLawan  🏴🏴🏴  https://t.co/Yp1X9hFhfV
princejoe5678,"@adam_is_malik @RinaMohdHarun @InjangNation Patut lah rakyat kena kibar bendera putih 🏳️&amp; bendera hitam🏴  Tengah susah, nak dapatkan bantuan pun susah jugak…  #lawan #BenderaHitam"
mcqisti,Kerajaan literally be f***ing up my opportunity for education. Transcript smue xkluar sbb office tutup. I missed a few college application deadlines sbb xde official transcript je #lawan
ridhwanshahz,@SyedSaddiq Tak tahan dengan pkpd yang dilaksanakan di selangor wal hal kebanyakan penduduk di selangor hanya stay at home tetapi masih lagi kes meningkat dan tidak menurun selama sebulan malah 40% kluster tempat kerja dan kebanyakannya di industri masih lagi dibuka. #Lawan
nazza_nz,🏴🏴🏴 #Lawan
jr_crunk7,#Lawan tetap #Lawan . Kroni Politikus sebgini perlu dihapuskan. Cukuplah menganiayakan negara kita yang tercinta. Warga muda jangan buta dengan propaganda perkauman yang kroni- kroni selalu memetik bila sampai PRU nanti. Jangan Lupa! #KerajaanGagal
puisee_chu,#Lawan #Malaysia
annieveeee,"I like the subtleness of the houses deco, look closer 😜 Gorgeous! 💫💐  #Lawan #BenderaHitam 🏴 #4thofJuly"
yul_z,My contribution to #Lawan #BenderaHitam. May we be blessed and protected.  https://t.co/uvPlfK0K8Y
keluhanetizen,"Muhyiddin Mahiaddin Mahyuddin whatever your name is, just get out and get lost #muhyiddinout #BenderaHitam #MuhyiddinLetakJawatan #Lawan"
apapbinzamri,Rakyat masih menderita. Politikus tidak pernah peduli. #LAWAN 🏴
jesperolsanajek,#KerajaanGagal #KerajaanPembunuh #KerajaanBodoh #KerajaanCirit #KerajaanZalim #Malaysia #Lawan #BenderaPutih #WhiteFlag #BenderaHitam #BlackFlag #MahiaddinLetakJawatan #MuhyiddinLetakJawatan  https://t.co/w4R8uommle
alyaasrul,🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴🏴 #LAWAN
fatinmadzlann,#LAWAN
megatfirdauz,"Jahanam, why do we have to keep punishing those in need again &amp; again? MPs belittling the Bendera Putih movement, and won’t even help those who wave the flag, saying it’s propaganda and all. Apa dosa diorang?  #KerajaanZalim #Lawan 🏴"
hazrinhafetz,"pastu ckp taksub pemimpin,taksub parti diri sendiri takde sumbangan apa2 setakat #Lawan  di dua ibu jari sahaja"
hill_mxn,#Lawan
lionfromtheeast,"#Lawan #BenderaHitam My home , my country , this is my fight against the tyrannical and undemocratic government who robbed us of our rights ! ✊👊🤛🤜  https://t.co/3vaXa57FSP"
ryzalazwir,@SyedSaddiq #Lawan bila segelintir pemimpin gila kuasa dan berkepentingan. Pemimpin sekarang dan juga sebelumnya. Tiada beza. Ada yang poyo amik kisah tapi hanya boneka. Ada yang perihatin tapi hanya sandiwara. Moga tuhan laknat semua yang menindas.
ajamiha,#Lawan Kalau ditegur guruh berdentum di langit Tanda ribut bakal runtuh sebentar lagi Haruskah aku berdiam melihat jemuran Hanya mengharap kain berlipat sendiri Nanti basah tanpa seurat benang Telanjang hanya tinggal seorang?  Ajami 04072021
annieveeee,A.M Gang lesgo! 🏎💨  #Lawan #BenderaHitam 🏴 #4thofJuly
ishamjamil,🏴#Lawan #MuhyiddinLetakJawatan #BenderaHitam
asghaff,"rakyat pacak tiang bendera, dia pacak tiang kote #Lawan"
annieveeee,Ur art sings to me...🖼💐 Thanks ☺️  #Lawan #BenderaHitam 🏴 #4thofJuly
siraxchurros,Kibar sini pun rasa boleh dah #Lawan
hazrinhafetz,"the original #Lawan   setakat aku,kau kita2 ni sembang dalam twitter at the comfort of our bed xyah la nk ckp @anwaribrahim  ni opportunis  org ni keluar masuk penjara dari zaman universiti lagi,kita ni mkn minum pn kadang2 mak yg bagi duit toksah sembang la setakat dlm twitter"
asilhome,#BenderaPutih itu setiakawan. #BenderaHitam itu kita #Lawan.
johnmacbw,#Lawan
reshanast,🏴🏴🏴🏴🏴🏴🏴 #lawan #BenderaHitam it's time guys.
fanbaseellie,#Lawan
dyyahnordin,#Lawan 🏴🏴🏴
zarulzimm,Lupa pulak dekat username boleh pacak #BenderaHitam . #Lawan .
fruityfrzz,main lagi politik sila2 #Lawan 🏴
ly_tripleh,Dekat² setahun lebih tak dengar rapatkan saf... #KerajaanPembunuh makin hari perangai macam yahudi... Tak sangka ayah pin ni rupanya Muhyiddin 😪... Cepat² lah #MuhyiddinLetakJawatan   #BenderaHitam #Lawan
syfhz75,"gather kat parlimen tak boleh, gather kat rumah boleh pulak.  gila punya failed kerajaan skrg, siap polis cover line lagi.  #KerajaanBangsat #LAWAN"
qissywoopsy,dah lah aku sambung belajar takda ambik apa apa pinjaman semua fully bapak aku bayar pastu yuran kolej takda kurang macam cilaka duit buku lagi bagai bodoh #lawan 🏴 done luahkan
navijnas,#Lawan  https://t.co/ixCKGzSuNj
ilyasyafiq,user (206000/3500000).100 = 5.9% active (206000/762000).100 = 27%  Based on 2014 data from google. #lawan itu benar.  https://t.co/S9ncBg3zvA
__saloma,Rakyat masih menderita. Politikus tidak pernah peduli. #LAWAN 🏴
jeffreychiang66,"THIS IS PN's plan for Covid, we need to do way better #kerajaanGagal #kerajaanBodoh #notmyPM #lawan  https://t.co/jmhevkKJFk"
farahnatt,kat fb ramai otak sempit and kaitkan dekat politik 🙄 #lawan
mas_merah65,#lawan untuk Malaysia tanah tumpah darahku.
suelaosman,Ayuhhhh #Lawan
qissywoopsy,aku 🏴#lawan walaupun aku benci bapak aku en aku tahu dia tengah susah gaji tak jalan sekarang bukan saja saja nak pi maki bangsat bangsat ni bapak aku ada aku dengan adik adik  aku bini dia nak kena tanggung lagi macam macam moklu sapa ritu cakap yang nak sebok berjimba
rubymas2,Rakyat masih menderita.. politikus masih tidak peduli..  #lawan
netizen_natezen,#Lawan #BenderaHitam  #TamatDarurat  #BukaParlimen  #MahiaddinLetakJawatan  https://t.co/Z2arKHQSwe
weelz72614499,i hope we are getting somewhere. goodnight rakyat.  #lawan should not end here.
1stnewsng,#Lawan: #Senate President urges lawmakers to ensure implementation of #PIB   https://t.co/9SlidXGnKt  #Nigeria #NigeriaNews #Buhari #ThisIsNigeria #politics #Nigerians  https://t.co/Gu7vzM8gQh
hopefulmsian,"Demi kita, kibar #BenderaHitam Demi negara, kita #Lawan"
__saloma,#LAWAN
kucingsiber,"Sementara nak tunggu #ENGUKR ni, tahukah anda bahawa penduduk UK juga sudah muak dengan lockdown tak berpenghujung dan melakukan tunjuk perasaan? Bezanya mereka sudah 49.9% divaksin. Malaysia? 11.1%  #Lawan #BenderaHitam  https://t.co/NTcDsD4dcb"
t_lean_hin,#Lawan
nohirfanfit3,Kita lawan guys !  Dah lama sangat basah kepala kene kencing ni !  #Lawan
hamba_syukur,Kita semua ada 'syaitan' yang untuk dilawan  #lawan
samshamsulazhar,Hampir setiap minggu aku terima berita kematian di Keramat angkara Covid-19 #lawan #kerajaanzalim 🏴
akashah__,#Lawan   https://t.co/ynboVabRn0
imranraszali,"The 3 Demands of The Online Black Flag Protest Happening 03Jul2021 at 3PM The protest has three demands, namely for Prime Minister to resign immediately, for Parliament to convene immediately and for the state of emergency to end. #LAWAN #KerajaanGagal #KerajaanBangsat  https://t.co/B4cWkTYggR"
annieveeee,The power of anger ARGGGHHHHHHHHH 😡🔥 #Lawan #BenderaHitam 🏴 #4thofJuly
_eksponen,"Angkuh, bangang.  #Lawan"
adhamiroo,Demi masa depan dan pendidikan anak-anak.  Demi negara yang bebas korupsi dan nepotisme.  Demi keadilan kepada seluruh rakyat.  Demi perpaduan kaum yang lebih utuh sehingga tidak lagi boleh dijadikn modal politik.  Demi Malaysia 🇲🇾   Kami #Lawan
binhonglee,Wait till they find out about #lawan 🙄
amirashrafjalal,"@ijatbobbie Paling risau, suicidal case is increasing teruk. That can be crucial indicator how PN is a #KerajaanGagal that need us to #Lawan through #BenderaHitam"
radin_suwardi,#lawan tetap #lawan selagi #KerajaanGagal kita mesti #lawan
weelz72614499,keep it trending #Lawan
khairul_hizwan,Hmm  #lawan
pulangkani,#lawan
jaykayenn,"Our legal, cultural, and institutional framework allowed this nightmare to happen. There's nothing stopping the next 1,000 governments from doing the same, or worse.   #KerajaanGagal #KerajaanZalim #KerajaanPembunuh #Lawan #MalaysianDictatorship"
amalifaa,"If we raise Pahang flag, are they still going to charge us under sedition act?  It's 2 in 1, black and white, they can't deny our rights! #Lawan #BenderaHitam #BenderaPutih  https://t.co/sAUYjgY7f5"
weelz72614499,This 👇🏻 register to vote if you haven’t #lawan #benderahitam
mfmjzf,@noorazlina_siti wah serba hitam.  kita #lawan
arfzdnn,nah artwork by me #lawan  https://t.co/3TYK1gf5Ak
weelz72614499,keeping it trending. so please don’t mind the RTs  #lawan #benderahitam
afiqazni,"Pencetus utk #LAWAN dtg dari perbuatan kamu sendiri yg taksub dgn @chedetofficial.  Berkeras utk Tun M meneruskan pentadbiran sekaligus mengkhianati persetujuan yg dimaterai oleh PKR, DAP, Amanah.  PPBM &amp; gerakan Azmin-Zuraida semakin berani dan tercetusnya Langkah Sheraton."
mommymiaica,"Tiba masanya kami berdiri. Berdiri mengejutkan kalian dari tidur yang terlalu selesa. Dari rakyat kalian datang, dari rakyat juga kalian akan pergi. Bermimpilah dengan bunga kerana duri akan muncul bila jaga. #RakyatBangkit #KerajaanGagal #Lawan #BenderaHitam"
madriabdullah,"Is it just me, or the #lawan and #BenderaHitam evaporated from the trending list? *sigh*  https://t.co/YLNNmpimxt"
irfankassim0303,@SyedSaddiq Why Lawan? When have the government showed us that they are working ever since PN took over?? When have they ever told the truth to the rakyat?? When is this bullshit going to end? ANSWER: NEVER - WE HAVE TO #Lawan #BenderHitam - No more Malaysian Jokers pls in the government
ijatbobbie,@amirashrafjalal Kan. Nak #Lawan #KerajaanBangsat lawan ah tapi tak payah join geng politaik ni. Dah jadi bodoh bila join puak2 ni. Masa PH jadi kerajaan pun gagal jugak.
annieveeee,Is that a challenge? hehehehehehehehehehehehehehehehehehehehehehehe😈  #Lawan #BenderaHitam 🏴
boihachiko,"“Kalau kenal apa yg kau mahu, Pasti tidak haru, Kalau tahu apa yg kami mahu, Pasti tidak biru, Sekarang semua berganding bahu, Ingin menjatuhkan kamu, Kamu sedar atau kamu batu, Mungkin skrg kamu ketawa, Biar kami yg berduka, Esok kamu berduka, Kami yg ketawa”  #LAWAN🏴🏴🏴🏴🏴"
artaththuur,@syahredzan #Lawan
ysminsry,🏴 #Lawan
purrfessionals,"Remember this. The people you're trying to step on, we're everyone you depend on. We're the people who do your laundry, cook, clean your toilet. Pay the tax. We are the rakyat. We control every part of your life.  Don't fuck with us #Lawan  https://t.co/rTr7VgnHYs"
itsmeazriq,"negara kita sedang sakit rakyat makin hari makin hilang hutan gondol, tanah hilang dari bukit yang berkuasa atas rakit, rakyat tenggelam disorak girang.  dia yang diberi kuasa dan wang, rakyat ditinggalnya  dalam terang tinggal kita lawan sehingga kita pula yang menang  #Lawan"
annieveeee,The kitties are back!  #Lawan #BenderaHitam 🏴
madriabdullah,"So they’ve definitely heard and seen this campaign, and chose to mute it by sweeping it under the rug, yet again 🙈🙉🙊. So I guess we really need to resort to being on the street for them to learn, the hard way? #lawan"
mohdfaizalmusa1,... 😱😱 banyaknya 🏴 #lawan ...  https://t.co/JtR6aJBO2P
